Product_ID,Product_Name,Country,avg_price,std_price,min_price,max_price,count,CV
AGEIGB223,Elite Insulated Gloves Blue,Austria,53.3025,16.74684522529542,31.31,69.98,4,31.418498616941832
AGEIGB223,Elite Insulated Gloves Blue,Canada,53.326666666666675,20.03790740904183,30.96,69.64,3,37.575773363623874
AGEIGB223,Elite Insulated Gloves Blue,China,41.14,,41.14,41.14,1,
AGEIGB223,Elite Insulated Gloves Blue,France,68.79,,68.79,68.79,1,
AGEIGB223,Elite Insulated Gloves Blue,Italy,69.10499999999999,8.287928973312129,59.46,77.71,4,11.993240682023195
AGEIGB223,Elite Insulated Gloves Blue,Japan,43.51333333333334,28.231447595426868,23.9,75.87,3,64.87999294184203
AGEIGB223,Elite Insulated Gloves Blue,Spain,29.84,,29.84,29.84,1,
AGEIGB223,Elite Insulated Gloves Blue,Switzerland,41.22,,41.22,41.22,1,
AGEIGB223,Elite Insulated Gloves Blue,USA,76.92,,76.92,76.92,1,
AGEIGB468,Elite Insulated Gloves Black,Andorra,41.1,,41.1,41.1,1,
AGEIGB468,Elite Insulated Gloves Black,Austria,26.03,,26.03,26.03,1,
AGEIGB468,Elite Insulated Gloves Black,Canada,68.32,,68.32,68.32,1,
AGEIGB468,Elite Insulated Gloves Black,China,55.82,,55.82,55.82,1,
AGEIGB468,Elite Insulated Gloves Black,France,49.73,,49.73,49.73,1,
AGEIGB468,Elite Insulated Gloves Black,Italy,64.34,,64.34,64.34,1,
AGEIGB468,Elite Insulated Gloves Black,Japan,66.38333333333334,9.294430231775008,57.34,75.91,3,14.001150236166218
AGEIGB468,Elite Insulated Gloves Black,South Korea,60.49,,60.49,60.49,1,
AGEIGB468,Elite Insulated Gloves Black,Spain,50.07,8.026576688310735,44.17,61.64,4,16.03071038208655
AGEIGB468,Elite Insulated Gloves Black,Switzerland,54.18,,54.18,54.18,1,
AGEIGB468,Elite Insulated Gloves Black,USA,61.916,20.210126916969124,34.32,79.74,5,32.64120246296454
AGEIGG567,Elite Insulated Gloves Green,Austria,43.95,,43.95,43.95,1,
AGEIGG567,Elite Insulated Gloves Green,Canada,54.75,,54.75,54.75,1,
AGEIGG567,Elite Insulated Gloves Green,China,60.125,1.704127342659577,58.92,61.33,2,2.834307430618839
AGEIGG567,Elite Insulated Gloves Green,France,47.528000000000006,20.09727518844284,24.59,77.54,5,42.28512705866613
